id,team
1,Heerenveen
2,Zwolle
3,Twente
4,Emmen
5,Heracles Almelo
6,Sparta R'dam
7,RKC Waalwijk
8,Groningen
9,VVV-Venlo
10,AZ Alkmaar
11,Vitesse
12,PSV Eindhoven
13,Fortuna Sittard
14,ADO Den Haag
15,Feyenoord
16,Willem II
17,Ajax
18,Utrecht
19,Go Ahead Eag
20,Cambuur
21,NEC Nijmegen
22,Excelsior
23,Volendam
24,Eint Frankfurt
25,Wolfsburg
26,Augsburg
27,Union Berlin
28,M'Gladbach
29,Bochum
30,Dortmund
31,Stuttgart
32,Köln
33,Freiburg
34,Hoffenheim
35,Werder Bremen
36,Leverkusen
37,RB Leipzig
38,Hertha BSC
39,Schalke 04
40,Mainz 05
41,Bayern Munich
42,Arminia
43,Greuther Fürth
44,Osasuna
45,Celta Vigo
46,Valladolid
47,Barcelona
48,Cádiz
49,Valencia
50,Almería
51,Athletic Club
52,Getafe
53,Betis
54,Espanyol
55,Sevilla
56,Mallorca
57,Atlético Madrid
58,Real Sociedad
59,Elche
60,Girona
61,Rayo Vallecano
62,Real Madrid
63,Villarreal
